DATE,Auto Inventory
1/1/1993,1377.3
1/1/1994,1445.3
1/1/1995,1629.8
1/1/1996,1422.6
1/1/1997,1399.7
1/1/1998,1369.7
1/1/1999,1406.6
1/1/2000,1397.2
1/1/2001,976.9
1/1/2002,1229.8
1/1/2003,1227.1
1/1/2004,1144.8
1/1/2005,1012.2
1/1/2006,1105.5
1/1/2007,985.3
1/1/2008,1215.5
1/1/2009,733.2
1/1/2010,796.7
1/1/2011,806.7
1/1/2012,1067.8
1/1/2013,1231
1/1/2014,1218
1/1/2015,1156
1/1/2016,1156.8
1/1/2017,923.836
1/1/2018,769.161
1/1/2019,529.109
1/1/2020,463.788
1/1/2021,84.133
1/1/2022,112.21
1/1/2023,226.074
1/1/2024,.
